product_id,product_name,category,purchase_price,selling_price
P001,Indomie Goreng Jumbo,Makanan Instan,2700,3500
P002,Aqua 600 ml,Minuman,2200,3500
P003,Teh Botol Sosro 450 ml,Minuman,4200,5500
P004,Kopi Kapal Api Special Mix,Minuman,1600,2500
P005,Roma Kelapa,Snack,6800,8500
P006,Chitato Sapi Panggang,Snack,8200,10500
P007,SilverQueen Chunky Bar,Cokelat,14500,18000
P008,Rinso Anti Noda 800 gr,Rumah Tangga,19500,24500
P009,Sunlight Jeruk Nipis 755 ml,Rumah Tangga,11800,15000
P010,Lifebuoy Total 100 gr,Personal Care,3900,5500
P011,Pepsodent White 190 gr,Personal Care,8900,11500
P012,Head & Shoulders Cool Menthol 170 ml,Personal Care,31500,39500
P013,Pocari Sweat 500 ml,Minuman,6200,8500
P014,Ultra Milk Coklat 250 ml,Minuman,4700,6500
P015,Good Day Cappuccino,Minuman,2100,3000
P016,Sari Roti Tawar Jumbo,Bakery,12500,15500
P017,Floridina Orange,Minuman,3100,4500
P018,Yakult (5 pcs),Minuman,9000,12000
P019,Cussons Baby Powder,Baby Care,13800,17000
P020,Wardah Perfect Bright Moisturizer,Kosmetik,23800,29500
