product_id,product_name,category,cost_price,selling_price,launch_date,status
PRD001,Es Kopi Susu,Coffee,39865,27295,2024-04-23,Active
PRD002,Kopi Susu Gula Aren,Coffee,12363,30547,15/09/2019,active
PRD003,Cappuccino,Coffee,9735,26835,27/03/2023,Inactive
PRD004,Caffe Latte,Coffee,11059,25177,17 Jan 2024,Active
PRD005,  Ameericano  ,Coffee,12537,21770,2022-04-20,active
PRD006,Expresso,Coffee,8257,23413,26 May 2019,INACTIVE
PRD007,Kopi Hitam,Coffee,12677,27440,26 Aug 2021,active
PRD008,Es Kopi Susu Aren,Coffee,11531,23804,17 May 2021,Active
PRD009,  Mocha,Coffee,13293,19612,2019-05-05,Active
PRD010,Macchiato,Coffee,11456,21006,24/07/2020,Active
PRD011,  Kopi Tubruk,Coffee,12508,19604,2019-04-14,Inactive
PRD012,Vanilla Latte,Coffee,9362,24658,21/09/2021,Active
PRD013,Hazelnut Latte,Coffee,8017,24396,27 Jun 2020,inactive
PRD014,Kopi Susu Karamel,Coffee,14417,27105,17 Sep 2022,Inactive
PRD015,Cold Brew,Coffee,12744,30054,15-01-2022,Active
PRD016,Es Teh Mannis,Tea,6465,23320,2019-06-14,INACTIVE
PRD017,Teh Tarik,Tea,10666,19033,2022-03-31,Active
PRD018,Lemon Tea,Tea,10282,20183,29/03/2024,ACTIVE
PRD019,Teh Leci,Tea,32762,19915,2021-07-25,ACTIVE
PRD020,Green Tea LLatte  ,Tea,7746,23288,27-06-2020,active
PRD021,Thai Tea,Tea,7292,22179,04-09-2023,Active
PRD022,Teh Melati,Tea,6064,24086,2020-09-05,Inactive
PRD023,Es Teh Jumbo,Tea,31062,24064,15-11-2019,Inactive
PRD024,Milk Tea,Tea,10002,19114,2024-01-29,inactive
PRD025,TaroMilk Tea  ,Tea,7071,19291,27 Nov 2019,Inactive
PRD026,Rice Bowl Ayam Geprek,Rice Bowl,17442,29180,06/09/2023,ACTIVE
PRD027,  Rice Bowl Chicken Katsu,Rice Bowl,15653,39724,06-03-2020,Inactive
PRD028,Rice Bowl Beef Teriyaki,Rice Bowl,17532,35757,06/11/2023,active
PRD029,  Nasi Ayam Bakar,Rice Bowl,20442,41491,01/07/2023,Inactive
PRD030,Nasi Ayam Goreng,Rice Bowl,15634,43423,31 Mar 2020,active
PRD031,Rice Bowl Salmon Teriyaki,Rice Bowl,49994,28775,13 Sep 2022,active
PRD032,Nasi Rendang,Rice Bowl,45812,39506,06 Aug 2022,Active
PRD033,Rice Bowl Chicken Blackpepper,Rice Bowl,15452,31779,02/12/2023,ACTIVE
PRD034,Nasi Ayam Penyet  ,Rice Bowl,24774,42239,08-12-2020,Inactive
PRD035,Rice Bowl Beef Yakiniku,Rice Bowl,24446,34228,05 Jun 2020,Active
PRD036,Nasi Campuur,Rice Bowl,18228,39934,02-06-2021,Active
PRD037,Rice Bowl Tuna Mayo,Rice Bowl,19920,44617,25 Sep 2020,Inactive
PRD038,Mie Goreng,Noodles,13571,28888,23/09/2022,Active
PRD039,Mie Ayam,Noodles,12003,26978,10 Aug 2020,active
PRD040,Mie Godog,Noodles,15619,29244,15 Oct 2022,active
PRD041,Spaghetti Aglio Olio,Noodles,17397,23389,04-08-2020,Active
PRD042,Mie KKuah Ayam,Noodles,13631,24414,2019-02-20,inactive
PRD043,Mie Goreng Seafood,Noodles,17884,33409,25 Feb 2021,Active
PRD044,Ramen Ayam  ,Noodles,18151,36097,27 Apr 2023,Active
PRD045,Kwetiau Goreng,Noodles,15805,22822,2022-02-15,active
PRD046,Bihun Goreng,Noodles,16578,31755,11 Oct 2020,inactive
PRD047,Mie Yamin,Noodles,18804,36857,27/01/2022,Active
PRD048,Kentang Goreng,Snack,10025,25447,21 Jul 2020,inactive
PRD049,Onion Rings  ,Snack,10340,18841,10-07-2020,ACTIVE
PRD050,Chicken Wings,Snack,11137,26369,09 Nov 2019,inactive
PRD051,Nugget Ayam  ,Snack,14823,21883,2021-03-08,inactive
PRD052,Tahu Crispy,Snack,8048,20763,03 Sep 2020,inactive
PRD053,Cireng,Snack,14123,27036,23/01/2022,inactive
PRD054,Risoles,Snack,11185,20507,01 Oct 2022,Inactive
PRD055,Pisang Goreng,Snack,13097,23751,2019-02-25,Active
PRD056,TempuraUdang,Snack,10131,21211,01 Nov 2020,active
PRD057,Dimsum Ayam,Snack,14160,21906,2020-05-31,Inactive
PRD058,Sosis Bakar,Snack,14399,25678,24/03/2019,Inactive
PRD059,Popcorn Chicken,Snack,11879,25968,23 Aug 2019,Active
PRD060,Cheese Stick,Snack,12974,27254,11/01/2023,Active
PRD061,Cheesecake  ,Dessert,12555,29433,19 Oct 2022,Active
PRD062,Chocolate Lava Cake,Dessert,16804,30276,12-05-2020,Active
PRD063,Puding Coklat,Dessert,14636,32822,26-03-2019,ACTIVE
PRD064,Deessert Box Tiramisu,Dessert,10864,27102,21 May 2024,ACTIVE
PRD065,Es Krim Vanilla,Dessert,17909,30657,07 Jul 2020,Active
PRD066,Waffle Coklat,Dessert,12640,33954,17-05-2020,inactive
PRD067,Banana Split,Dessert,14999,30947,2021-02-15,ACTIVE
PRD068,Molten Cake,Dessert,12906,33071,13-06-2020,ACTIVE
PRD069,Brownies,Dessert,10083,28464,2024-04-25,active
PRD070,Panna Cotta,Dessert,11968,31314,02 Sep 2021,Inactive
PRD071,  Croissant,Bakery,10312,26334,13-05-2020,ACTIVE
PRD072,Roti Bakar,Bakery,13110,24017,08 Nov 2020,ACTIVE
PRD073,Donat Coklat,Bakery,8577,20169,02/09/2019,Inactive
PRD074,Muffin Blueberry,Bakery,11829,23595,2022-05-07,ACTIVE
PRD075,Garlic Bread,Bakery,9476,15231,21/12/2022,Active
PRD076,Roti Sobek,Bakery,12713,17068,30 Jul 2022,inactive
PRD077,Baagel,Bakery,10608,20582,2020-01-13,inactive
PRD078,Danish Pastry  ,Bakery,12156,26246,20-04-2019,INACTIVE
PRD079,SourdoughBread,Bakery,11883,25132,07 Apr 2020,inactive
PRD080,Cinnamon Roll,Bakery,10512,20003,2022-03-10,Active
